Nom du magasin,Enseigne,Région,Adresse,Latitude,Longitude
Alain Afflelou CLAIRA,Afflelou,Occitanie,"C.C. Carrefour - route de Barcarès, 66530 Claira",42.7654,2.9936
Alain Afflelou CLERMONT-L'HÉRAULT,Afflelou,Occitanie,"ZAC Les Tanes Basses, 34800 Clermont-l'Hérault",43.6287,3.4394
Alain Afflelou COLOMIERS,Afflelou,Occitanie,"C.C. Plein Centre, 31770 Colomiers",43.6140,1.3481
Alain Afflelou CONDE SUR L'ESCAUT,Afflelou,Hauts-de-France,"46 avenue de la Liberté - rond point du Tourniquet, 59163 Condé-sur-l'Escaut",50.4367,3.5784
Alain Afflelou COQUELLES,Afflelou,Hauts-de-France,"Place de Cantorbery, 62231 Coquelles",50.9359,1.8106
Alain Afflelou CORBEIL-ESSONNES,Afflelou,Île-de-France,"C.C. Carrefour Villabé, 91100 Corbeil-Essonnes",48.5900,2.4379
Alain Afflelou COSNE-COURS-SUR-LOIRE,Afflelou,Bourgogne-Franche-Comté,"Chemin Rural Dit Grand Champ RN7, 58200 Cosne-Cours-sur-Loire",47.4105,2.9292
Alain Afflelou COULOMMIERS,Afflelou,Île-de-France,"2-4 place du Marché - 16 rue du Marché, 77120 Coulommiers",48.8142,3.0854
Alain Afflelou ÉCHIROLLES,Afflelou,Auvergne-Rhône-Alpes,"C.C. E.Leclerc - ZAC de Comboire, 38130 Échirolles",45.1457,5.6987
Alain Afflelou EPINAL,Afflelou,Grand Est,"4 rue Rualménil, 88000 Epinal",48.1731,6.4513
Alain Afflelou EVRY,Afflelou,Île-de-France,"C.C. Carrefour, 91000 Évry",48.6322,2.4381
Alain Afflelou Fenouillet - SUD OUEST VISION - OPFE,Afflelou,Occitanie,"Rte nationale 20, 31150 Fenouillet",43.6700,1.4022
Alain Afflelou FLERS,Afflelou,Normandie,"53 rue du 6 Juin, 61100 FLERS",48.7455,-0.5695
Alain Afflelou FRESNES,Afflelou,Île-de-France,"ZAC de la Cerisaie, 94260 Fresnes",48.7580,2.3267
Alain Afflelou GAILLAC,Afflelou,Occitanie,"48 Place de la Libération, 81600 Gaillac",43.8986,1.8972
Alain Afflelou GIEN,Afflelou,Centre-Val de Loire,"1 rue Gambetta, 45500 Gien",47.6902,2.6284
Alain Afflelou Gournay-en-Bray,Afflelou,Normandie,"3 Rue du Dr Duchesne, 76220 Gournay-en-Bray",49.4808,1.7221
Alain Afflelou Guéret - MAGU (Thea SARL),Afflelou,Nouvelle-Aquitaine,"CENTRE COMMERCIAL CARREFOUR LOCAL 44, RUE DE LA CROIX SAINT-JACQUES, 23000 LA VILLE DU BOIS",48.66837,2.27456
Alain Afflelou HÉNIN-BEAUMONT,Afflelou,Hauts-de-France,"1 avenue Victor Hugo, 62110 Hénin-Beaumont",50.41782,2.95725
Alain Afflelou Jarny BERJ,Afflelou,Grand Est,"1 rue de la république, 54800 Jarny",49.15705,5.84434
Alain Afflelou JEUXEY,Afflelou,Grand Est,"C.C. Carrefour, 88000 JEUXEY",48.17485,6.45877
Alain Afflelou LA CHAPELLE-SAINT-AUBIN,Afflelou,Pays de la Loire,"ZAC du Moulin aux Moines, 72650 La Chapelle-Saint-Aubin",48.04060,0.14570
